,runid,name,it,net,bias,cuda,load,test,epochs,logdir,readme,datadir,dataset,preproc,resdown,workers,oe_limit,quantile,gauss_std,loss_mode,batch_size,noise_mode,acc_batches,normal_class,weight_decay,blur_heatmaps,learning_rate,nominal_label,log_start_time,lr_sched_param,optimizer_type,scheduler_type,supervise_mode,log_start_time_str,normal_class_label,_runtime,_timestamp,test_rocauc,lr,loss,_step,epoch,_wandb,loss_normal,loss_anomalous
545,3jf62e5r,mvtec_fcdd_20220516164643.normal_14.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_14/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,14,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,zipper,6156.0,1652821548.0,0.9395278021444408,0.0004768428712720824,0.1045137345790863,50.0,49.0,{'runtime': 6153},,
546,1j4m0j7p,mvtec_fcdd_20220517151617.normal_1.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_1/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,1,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,cable,5889.0,1652821170.0,0.9149681774837656,0.0004768428712720824,33.577781677246094,50.0,49.0,{'runtime': 5886},,
547,3pxh4p5x,mvtec_fcdd_20220517151617.normal_9.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_9/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,9,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,screw,6830.0,1652821090.0,0.8170010083696291,0.0004768428712720824,33.55134963989258,50.0,49.0,{'runtime': 6826},,
548,3boqjjar,mvtec_fcdd_20220516164643.normal_5.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_5/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,5,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,hazelnut,9088.0,1652822007.0,0.9638287337434718,0.0004768428712720824,0.1114407330751419,50.0,49.0,{'runtime': 9083},,
549,d3x6j5ll,mvtec_fcdd_20220516164751.normal_5.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164751/normal_5/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distances,16,confetti,8,5,0.0001,False,0.001,0,1652712471,[0.985],sgd,lambda,malformed_normal_gt,20220516164751,hazelnut,9178.0,1652821271.0,0.9526887327310676,0.0004768428712720824,0.03518842160701752,50.0,49.0,{'runtime': 9172},,
550,3or7angt,mvtec_fcdd_20220517160850.normal_1.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160850/normal_1/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,1,0.0001,False,0.001,0,1652796530,[0.985],sgd,lambda,malformed_normal_gt,20220517160850,cable,5709.0,1652816410.0,0.9181033181983576,0.0004768428712720824,0.11233162134885788,50.0,49.0,{'runtime': 5707},,
551,2hbvwdle,mvtec_fcdd_20220517151617.normal_1.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_1/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,1,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,cable,6021.0,1652815270.0,0.8904884748453666,0.0004768428712720824,34.66144561767578,50.0,49.0,{'runtime': 6018},,
552,22dhw2qd,mvtec_fcdd_20220516164800.normal_13.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164800/normal_13/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distances,16,confetti,8,13,0.0001,False,0.001,0,1652712480,[0.985],sgd,lambda,malformed_normal_gt,20220516164800,wood,6255.0,1652815434.0,0.8703177607149692,0.0004768428712720824,0.027958745136857033,50.0,49.0,{'runtime': 6251},,
553,2au5pjpy,mvtec_fcdd_20220517160858.normal_8.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160858/normal_8/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,8,0.0001,False,0.001,0,1652796538,[0.985],sgd,lambda,malformed_normal_gt,20220517160858,pill,6431.0,1652815589.0,0.8636115748233854,0.0004768428712720824,0.11997156590223312,50.0,49.0,{'runtime': 6426},,
554,243735wu,mvtec_fcdd_20220516164643.normal_13.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_13/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,13,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,wood,6358.0,1652815382.0,0.9160941806696292,0.0004768428712720824,0.13516144454479218,50.0,49.0,{'runtime': 6354},,
555,3azger85,mvtec_fcdd_20220517151617.normal_8.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_8/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,8,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,pill,6790.0,1652814250.0,0.8452197505972362,0.0004768428712720824,33.18568420410156,50.0,49.0,{'runtime': 6786},,
556,cbx9u1hv,mvtec_fcdd_20220517160850.normal_0.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160850/normal_0/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,0,0.0001,False,0.001,0,1652796530,[0.985],sgd,lambda,malformed_normal_gt,20220517160850,bottle,4562.0,1652810692.0,0.9560455337340462,0.0004768428712720824,0.11395370960235596,50.0,49.0,{'runtime': 4559},,
557,2c6td490,mvtec_fcdd_20220517151617.normal_0.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_0/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,0,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,bottle,5020.0,1652809241.0,0.9314759174104396,0.0004768428712720824,29.0045166015625,50.0,49.0,{'runtime': 5015},,
558,388hum89,mvtec_fcdd_20220516164643.normal_5.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_5/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,5,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,hazelnut,9587.0,1652812910.0,0.963685267675239,0.0004768428712720824,0.0942934900522232,50.0,49.0,{'runtime': 9582},,
559,1kkidly3,mvtec_fcdd_20220517160858.normal_8.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160858/normal_8/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,8,0.0001,False,0.001,0,1652796538,[0.985],sgd,lambda,malformed_normal_gt,20220517160858,pill,6399.0,1652809149.0,0.854294328618873,0.0004768428712720824,0.11832701414823532,50.0,49.0,{'runtime': 6396},,
560,1jnyfyp4,mvtec_fcdd_20220516164800.normal_13.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164800/normal_13/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distances,16,confetti,8,13,0.0001,False,0.001,0,1652712480,[0.985],sgd,lambda,malformed_normal_gt,20220516164800,wood,6482.0,1652809169.0,0.8324634234319203,0.0004768428712720824,0.025913288816809658,50.0,49.0,{'runtime': 6478},,
